frame,timestamp,x,y,z,qw,qx,qy,qz,v_x (m/s),v_y (m/s),v_z (m/s),w_x (rad/s),w_y (rad/s),w_z (rad/s),acc x (m/s^2),acc y (m/s^2),acc z (m/s^2),roll,pitch,yaw
898,33370663371,-23.800546646118164,61.24238586425781,0.09412002563476562,0.9999864410163584,0.0,-0.0,-0.005207473805720072,0.0,-0.0,-0.2939999997615814,0.0,-0.0,-0.0,0.0,-0.0,-9.800000190734863,0.0,-0.0,-0.01041499468373021
899,33380663371,-23.800546646118164,61.24238586425781,0.0902000442147255,0.9999864410163584,0.0,-0.0,-0.005207473805720072,0.0,-0.0,-0.3919999897480011,0.0,-0.0,-0.0,0.0,-0.0,-9.799999237060547,0.0,-0.0,-0.01041499468373021
900,33390663371,-23.800546646118164,61.24238586425781,0.0853000208735466,0.9999864410163584,0.0,-0.0,-0.005207473805720072,0.0,-0.0,-0.4899999797344208,0.0,-0.0,-0.0,0.0,-0.0,-9.799999237060547,0.0,-0.0,-0.01041499468373021
901,33400663370,-23.800546646118164,61.24238586425781,0.07942001521587372,0.9999864410163584,0.0,-0.0,-0.005207473805720072,0.0,-0.0,-0.5879999995231628,0.0,-0.0,-0.0,0.0,-0.0,-9.800002098083496,0.0,-0.0,-0.01041499468373021
902,33410663370,-23.800546646118164,61.24238586425781,0.07292083650827408,0.9999864410163584,0.0,-0.0,-0.005207473805720072,0.0,-0.0,-0.6499363780021667,-0.00044292787788435817,0.00018683887901715934,1.7491216808274146e-12,0.0,-0.0,-6.193637847900391,0.0,-0.0,-0.01041499468373021
903,33420663370,-23.800546646118164,61.24238586425781,0.06700301915407181,0.9999864410163584,0.0,-0.0,-0.005207473805720072,-1.0590547105948644e-07,-2.2280735265667317e-06,-0.591778039932251,-0.00021339982049539685,0.00013214298815000802,7.050624528659455e-09,-1.0590547390165739e-05,-0.00022280735720414668,5.815834045410156,0.0,-0.0,-0.01041499468373021
904,33430663370,-23.800546646118164,61.24238586425781,0.06157264485955238,0.9999864410163584,0.0,-0.0,-0.005207473805720072,-8.158038866667994e-08,-1.6871613297553267e-06,-0.5430380702018738,-0.00013878810568712652,9.76341325440444e-05,-6.086086301593241e-09,2.4325081540155225e-06,5.40912187716458e-05,4.873996734619141,0.0,-0.0,-0.01041499468373021
905,33440663369,-23.800546646118164,61.24238586425781,0.05658992752432823,0.9999864410163584,0.0,-0.0,-0.005207473805720072,-8.267785034377084e-08,-1.2283089745324105e-06,-0.49827253818511963,-0.00014844961697235703,0.00010240588017040864,-7.208138530501174e-10,-1.0974616770909051e-07,4.5885237341281027e-05,4.476552963256836,0.0,-0.0,-0.01041499468373021
906,33450663369,-23.800546646118164,61.24238586425781,0.05201831832528114,0.9999864410163584,0.0,-0.0,-0.005207473805720072,-5.606609221331382e-08,-1.3413051647148677e-06,-0.45716163516044617,-0.0001549194857943803,6.57591299386695e-05,-4.224406158215288e-09,2.661175813045702e-06,-1.129961856349837e-05,4.111090183258057,0.0,-0.0,-0.01041499468373021
907,33460663369,-23.800546646118164,61.24238586425781,0.04782421141862869,0.9999864410163584,0.0,-0.0,-0.005207473805720072,-7.199930962542567e-08,-1.0381281754234806e-06,-0.4194090962409973,-0.00012380846601445228,8.779278869042173e-05,-6.49548748121731e-11,-1.593321712789475e-06,3.0317698474391364e-05,3.7752537727355957,0.0,-0.0,-0.01041499468373021
908,33470663369,-23.800546646118164,61.24238586425781,0.04397674277424812,0.9999864410163584,0.0,-0.0,-0.005207473805720072,-3.928982295064998e-08,-7.898712510723271e-07,-0.38474470376968384,-4.078710844623856e-05,4.8532107030041516e-05,-7.156164993915581e-09,3.2709485822124407e-06,2.4825692889862694e-05,3.4664392471313477,0.0,-0.0,-0.01041499468373021
909,33480663369,-23.800546646118164,61.24238586425781,0.04044754058122635,0.9999864410163584,0.0,-0.0,-0.005207473805720072,-1.3921900965385703e-08,-1.019425326376222e-06,-0.35291948914527893,-4.36855734733399e-05,8.721744961803779e-06,-6.419996756434898e-10,2.536792180762859e-06,-2.2955407985136844e-05,3.182521343231201,0.0,-0.0,-0.01041499468373021
