174828180879,0.0,-0.0925783157581,-3.5527136788e-15,1.0,0.0,0.0,0.0,0.0,-0.293999999762,-5.55111512313e-17,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174838180879,-7.1054273576e-15,-0.0886583343381,-1.06581410364e-14,1.0,0.0,0.0,0.0,0.0,-0.391999989748,-8.32667268469e-17,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174848180879,0.0,-0.0837583109969,0.0,1.0,0.0,0.0,0.0,0.0,-0.489999979734,-8.32667268469e-17,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174858180879,0.0,-0.0778783053393,-7.1054273576e-15,1.0,0.0,0.0,0.0,0.0,-0.587999999523,-1.11022302463e-16,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174868180879,0.0,-0.0713791266317,-3.5527136788e-15,1.0,0.0,0.0,0.0,0.0,-0.649936378002,-1.11022302463e-16,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174878180878,0.0,-0.0654613092775,3.5527136788e-15,1.0,0.0,0.0,0.0,-2.22807352657e-06,-0.591778039932,-1.05905471171e-07,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174888180878,0.0,-0.0600309349829,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.68716132976e-06,-0.543038070202,-8.15803887777e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174898180878,-7.1054273576e-15,-0.0550482176477,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.22830897453e-06,-0.498272538185,-8.26778503993e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174908180878,0.0,-0.0504766084487,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.34130516471e-06,-0.45716163516,-5.60660923243e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174918180877,7.1054273576e-15,-0.046282501542,-7.1054273576e-15,1.0,0.0,0.0,0.0,-1.03812817542e-06,-0.419409096241,-7.19993097087e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174928180877,0.0,-0.0424350328976,-3.5527136788e-15,1.0,0.0,0.0,0.0,-7.89871251072e-07,-0.38474470377,-3.92898230062e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174938180877,7.1054273576e-15,-0.0389058307046,0.0,1.0,0.0,0.0,0.0,-1.01942532638e-06,-0.352919489145,-1.39219010209e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174948180877,0.0,-0.0356687918538,-1.06581410364e-14,1.0,0.0,0.0,0.0,-5.93047616348e-07,-0.323702394962,-2.74244272291e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174958180877,-7.1054273576e-15,-0.032699966454,-7.1054273576e-15,1.0,0.0,0.0,0.0,-6.03267949373e-07,-0.296881467104,-2.66317866093e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174968180876,7.1054273576e-15,-0.0299773417646,-7.1054273576e-15,1.0,0.0,0.0,0.0,-2.37548093196e-07,-0.27226421237,-7.80831843628e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174978180876,0.0,-0.0274806205416,3.5527136788e-15,1.0,0.0,0.0,0.0,-3.93771131257e-07,-0.249670818448,-2.56884363087e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174988180876,0.0,-0.0251912676031,-7.1054273576e-15,1.0,0.0,0.0,0.0,-1.49749155298e-07,-0.228935420513,8.17592479829e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
174998180876,0.0,-0.0230921931798,3.5527136788e-15,1.0,0.0,0.0,0.0,-1.26095457631e-07,-0.209907144308,7.04830767362e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
175008180875,0.0,-0.0211677156622,-7.1054273576e-15,1.0,0.0,0.0,0.0,-2.21830632086e-07,-0.192448347807,-2.41515288046e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
175018180875,0.0,-0.0194034181768,-7.1054273576e-15,1.0,0.0,0.0,0.0,-1.63079061366e-08,-0.17642852664,-4.35148053701e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
175028180875,0.0,-0.0177861020202,-3.5527136788e-15,1.0,0.0,0.0,0.0,-3.46235751181e-08,-0.161732330918,-1.9918319466e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
